file_name,sentence
S1,"De unas parras artificiales, cuyas hojas parecían retazos de terciopelo. "
S2,Sillones de floreada cretona en torno de las mesas de bambú formaban islas. 
S3,A las que se acogían grupos de personas para embadurnar. 
S4,"Manteca y mermeladas el pan tostado, husmear el perfume del té o seguir el burbujeo de las aguas minerales teñidas de jarabes y licores. "
S5,Camareros rubios de corta chaqueta azul y botones dorados pasaban con la bandeja en alto por los canalizos de este archipiélago humano. 
S6,"orteando los promontorios de los respaldos, los golfos y penínsulas formados por las rodillas. "
S7,"Una vidriera, de pared a pared, formada de pequeños cristales biselados. "
S8,"Dejaba ver el salón inmediato, blanco también, pero con adornos de oro. "
S9,"Los asientos tapizados de seda rosa, igual a la que adornaba los planos de las paredes. "
S10,Estaban ocupados por señoras. 
